ISBN,Book Title,Authors,Book Publisher,Price,Categories,Total Quantity,Available
,It Happened in India,,,,,,
,Havells: The Untold Story of Qimat Rai Gupta,,,,,,
,"Corporate Chanakya, 10th Anniversary Edition—2021",,,,,,
,Successful Sales ,,,,,,
,23 reasons businesses fail and what you can do about it,,,,,,
,One-Minute Super Dad: 99 Magic Moments to Raise Amazing Children,,,,,,
,100 Great Marketing Ideas,,,,,,
,Crush It!: Why NOW Is the Time to Cash In on Your Passion,,,,,,
,"Safe Enough to Soar: Accelerating Trust, Inclusion & Collaboration in the Workplace",,,,,,
,The Laws of Lifetime Growth: Always Make Your Future Bigger than Your Past,,,,,,
,Giving Effective Feedback,,,,,,
,The 10% Entrepreneur: Live Your Dream Without Quitting Your Day Job,,,,,,
,"Getting Work Done: Prioritize Your Work, be More Efficient, Take Control of Your Time",,,,,,
,HBR's 10 Must Reads: The Essentials,,,,,,
,Quantum Marketing : Mastering the New Marketing Mindset for Tomorrow's Consumers ,,,,,,
,"HBR's 10 Must Reads for CEOs (with bonus article ""Your Strategy Needs a Strategy"" by Martin Reeves, Claire Love, and Philipp Tillmanns)",,,,,,
,Getting It All Done (HBR Working Parents Series),,,,,,
,Funding Your Startup: And Other Nightmares,,,,,,
,A Great Place to Work for All,,,,,,
,21 Fantastic Failures: And What Their Stories Teach Us,,,,,,
,Winning At Work: Unleashing The Power Of Confidence And Self,,,,,,
,Twenty Millionaires Under Thirty,,,,,,
,"HBR's 10 Must Reads on Managing People (with featured article ""Leadership That Gets Results,"" by Daniel Goleman) ",,,,,,
,The Magic of Tiny Business: You Don't Have to Go Big to Make a Great Living ,,,,,,
,The Critical Few: Energize Your Company's Culture by Choosing What Really Matters,,,,,,
,"HBR's 10 Must Reads on Emotional Intelligence (with featured article ""What Makes a Leader?"" by Daniel Goleman",,,,,,
,HBR's 10 Must Reads: On Leadership (Harvard Business Review Must Reads),,,,,,
,"Bedtime Stories for Managers: Farewell, Lofty Leadership . . . Welcome, Engaging Management ",,,,,,
,Grit Guts and Gumption: Driving Change in a State-owned Giant,,,,,,
,Businessmens Bhagavadgita,,,,,,
,How to Start Your Own Business: And Make it Work,,,,,,
,Circle of The 9 Muses: A Storytelling Field Guide for Innovators and Meaning Makers,,,,,,
